time,Usage
0,4.841323771848772 
10,10.663358251146429 
20,16.96904679266715 
30,17.073862740771098 
40,16.59803212725158 
50,17.17518754333985 
60,17.4742932612182 
70,16.52676915338426 
80,16.642574319653068 
90,16.99660633484163 
100,17.094662638469284 
110,17.946133249330604 
120,17.452253269357417 
130,16.773788995140304 
140,16.650392163039026 
150,17.001535905714196 
160,17.356433472226573 
170,17.53439353780134 
180,16.893758633680775 
190,17.734901960784313 
200,16.79984839392312 
210,16.40104774828794 
220,16.828438169670996 
230,18.3064846631569 
240,16.70194282103933 
250,16.928028271227085 
260,17.424337561220646 
270,18.02522590361446 
280,17.43763319543688 
290,17.832751077959273 
300,17.457621788219015 
310,17.33668341708543 
320,17.506940938919737 
330,17.008649535955552 
340,17.27527647373893 
350,18.25669833054565 
360,18.02483141110481 
370,18.139151392148158 
380,17.086050580563068 
390,17.490121700648018 
400,17.89166745903458 
410,19.47829940802178 
420,18.663935717661886 
430,17.38196747197221 
440,18.273790705026872 
450,18.14642484094578 
460,18.18010016063498 
470,19.9589905362776 
480,19.939873417721518 
490,19.626344593319494 
500,19.452435901489046 
510,12.656274602424816 
520,7.36397452871824 
